Nanoparticle,BaseFluid,Temperature (°C),Particle Size (nm),Particle Volume Fraction (in %),TC(W/mK),Thermal Conductivity of Particle (kp),Thermal Conductivity of Liquid (km),kp/km ratio,Temp_Volume,Inverse_Particle_Size,Brownian_Feature
Al2O3,Water,20.0,40.0,0.0157,0.64,36.0,0.6,60.0,0.3139999999999999,0.025,3.162277660168379
Al2O3,Water,50.0,20.0,0.0001,0.66,36.0,0.6,60.0,0.005,0.05,11.180339887498947
Al2O3,Water,60.0,40.0,0.0073,0.618,36.0,0.6,60.0,0.438,0.025,9.486832980505138
Al2O3,Water,20.0,30.0,0.0187,0.647,36.0,0.6,60.0,0.374,0.0333333333333333,3.651483716701108
Al2O3,Water,20.0,20.0,0.05,0.65,36.0,0.6,60.0,1.0,0.05,4.47213595499958
Al2O3,Water,30.0,30.0,0.0159,0.64,36.0,0.6,60.0,0.477,0.0333333333333333,5.477225575051661
Al2O3,Water,60.0,40.0,0.029,0.673,36.0,0.6,60.0,1.74,0.025,9.486832980505138
Al2O3,Water,70.0,30.0,0.0262,0.666,36.0,0.6,60.0,1.834,0.0333333333333333,12.780193008453876
Al2O3,Water,40.0,25.0,0.01,0.625,36.0,0.6,60.0,0.4,0.04,8.0
Al2O3,Water,20.0,20.0,0.05,0.68,36.0,0.6,60.0,1.0,0.05,4.47213595499958
Al2O3,Water,20.0,20.0,0.0198,0.65,36.0,0.6,60.0,0.396,0.05,4.47213595499958
Al2O3,EG15,25.0,45.0,0.05,0.6,36.0,0.4,90.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,60.0,30.0,0.0079,0.62,36.0,0.6,60.0,0.474,0.0333333333333333,10.954451150103322
Al2O3,Water,20.0,20.0,0.0112,0.628,36.0,0.6,60.0,0.224,0.05,4.47213595499958
Al2O3,Water,40.0,20.0,0.05,0.82,36.0,0.6,60.0,2.0,0.05,8.94427190999916
Al2O3,Water,20.0,20.0,0.0001,0.58,36.0,0.6,60.0,0.002,0.05,4.47213595499958
Al2O3,Water,50.0,40.0,0.0288,0.673,36.0,0.6,60.0,1.44,0.025,7.905694150420948
Al2O3,Water,30.0,40.0,0.0056,0.614,36.0,0.6,60.0,0.168,0.025,4.743416490252569
Al2O3,Water,70.0,30.0,0.0224,0.656,36.0,0.6,60.0,1.568,0.0333333333333333,12.780193008453876
Al2O3,Water,50.0,50.0,0.0088,0.622,36.0,0.6,60.0,0.44,0.02,7.071067811865475
Al2O3,Water,20.0,25.0,0.0165,0.642,36.0,0.6,60.0,0.33,0.04,4.0
Al2O3,Water,20.0,20.0,0.0214,0.654,36.0,0.6,60.0,0.428,0.05,4.47213595499958
Al2O3,Water,20.0,20.0,0.0139,0.635,36.0,0.6,60.0,0.2779999999999999,0.05,4.47213595499958
Al2O3,Water,30.0,20.0,0.05,0.72,36.0,0.6,60.0,1.5,0.05,6.7082039324993685
Al2O3,Water,20.0,20.0,0.05,0.7,36.0,0.6,60.0,1.0,0.05,4.47213595499958
Al2O3,Water,20.0,50.0,0.0182,0.646,36.0,0.6,60.0,0.364,0.02,2.82842712474619
Al2O3,EG30,25.0,45.0,0.05,0.57,36.0,0.3,120.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,25.0,45.0,0.05,0.644,36.0,0.6,60.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,70.0,40.0,0.0061,0.615,36.0,0.6,60.0,0.427,0.025,11.067971810589327
Al2O3,Water,25.0,45.0,0.05,0.63,36.0,0.6,60.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,50.0,30.0,0.028,0.671,36.0,0.6,60.0,1.4,0.0333333333333333,9.128709291752768
Al2O3,Water,30.0,20.0,0.015,0.638,36.0,0.6,60.0,0.4499999999999999,0.05,6.7082039324993685
Al2O3,Water,20.0,50.0,0.0125,0.632,36.0,0.6,60.0,0.25,0.02,2.82842712474619
Al2O3,EG30,25.0,45.0,0.01,0.55,36.0,0.3,120.0,0.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,60.0,40.0,0.0057,0.614,36.0,0.6,60.0,0.342,0.025,9.486832980505138
Al2O3,Water,70.0,50.0,0.0062,0.616,36.0,0.6,60.0,0.434,0.02,9.899494936611664
Al2O3,Water,50.0,20.0,0.05,0.71,36.0,0.6,60.0,2.5,0.05,11.180339887498947
Al2O3,EG30,25.0,45.0,0.05,0.61,36.0,0.3,120.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,50.0,40.0,0.0261,0.666,36.0,0.6,60.0,1.3050000000000002,0.025,7.905694150420948
Al2O3,Water,60.0,40.0,0.0016,0.604,36.0,0.6,60.0,0.096,0.025,9.486832980505138
Al2O3,EG15,25.0,45.0,0.05,0.64,36.0,0.4,90.0,1.25,0.0222222222222222,3.7267799624996494
Al2O3,Water,20.0,25.0,0.0278,0.67,36.0,0.6,60.0,0.5559999999999999,0.04,4.0
Al2O3,Water,20.0,30.0,0.0077,0.619,36.0,0.6,60.0,0.154,0.0333333333333333,3.651483716701108
Al2O3,Water,20.0,20.0,0.05,0.62,36.0,0.6,60.0,1.0,0.05,4.47213595499958
Al2O3,Water,30.0,30.0,0.0269,0.668,36.0,0.6,60.0,0.807,0.0333333333333333,5.477225575051661
Al2O3,Water,40.0,50.0,0.0296,0.675,36.0,0.6,60.0,1.1840000000000002,0.02,5.65685424949238
